doi,sources,ror_ids,year,datacite_client_id,datacite_publisher,datacite_resourceTypeGeneral,datacite_title,datacite_licenses,crossref_member,crossref_publisher,crossref_year,crossref_title,n_authors_total,n_authors_with_orcid
10.5281/zenodo.12804752,datacite,https://ror.org/03hjekm25;https://ror.org/04arkmn57;https://ror.org/04wckhb82;https://ror.org/05k238v14,2024,cern.zenodo,Zenodo,Dataset,Dataset for article: Potent and reversible open-channel blocker of NMDA receptor derived from dizocilpine with enhanced membrane-to-channel inhibition,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,21,18
10.5281/zenodo.12804753,datacite,https://ror.org/03hjekm25;https://ror.org/04arkmn57;https://ror.org/04wckhb82;https://ror.org/05k238v14,2024,cern.zenodo,Zenodo,Dataset,Dataset for article: Potent and reversible open-channel blocker of NMDA receptor derived from dizocilpine with enhanced membrane-to-channel inhibition,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,21,18
10.5281/zenodo.13384169,datacite,https://ror.org/03hjekm25;https://ror.org/04arkmn57;https://ror.org/04wckhb82;https://ror.org/05k238v14,2024,cern.zenodo,Zenodo,Dataset,Dataset for article: Potent and reversible open-channel blocker of NMDA receptor derived from dizocilpine with enhanced membrane-to-channel inhibition,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,21,18
10.5281/zenodo.14808307,datacite,https://ror.org/04arkmn57,2025,cern.zenodo,Zenodo,Dataset,Dynamic Reconnaissance Operations with UAV Swarms: Adapting to Environmental Changes,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,2
10.5281/zenodo.14808308,datacite,https://ror.org/04arkmn57,2025,cern.zenodo,Zenodo,Dataset,Dynamic Reconnaissance Operations with UAV Swarms: Adapting to Environmental Changes,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,2
10.5281/zenodo.15128740,datacite,https://ror.org/02j46qs45;https://ror.org/02yhj4v17;https://ror.org/04arkmn57,2024,cern.zenodo,Zenodo,Dataset,"Dataset for journal article called ""Wide spectral range optical characterization of terbium gallium garnet (TGG) single crystal by universal dispersion mode""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,5,4
10.5281/zenodo.15128741,datacite,https://ror.org/02j46qs45;https://ror.org/02yhj4v17;https://ror.org/04arkmn57,2024,cern.zenodo,Zenodo,Dataset,"Dataset for journal article called ""Wide spectral range optical characterization of terbium gallium garnet (TGG) single crystal by universal dispersion mode""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,5,4
10.5061/dryad.2sj7q,datacite,https://ror.org/024d6js02;https://ror.org/036zr1b90;https://ror.org/04stdpt78,2018,dryad.dryad,Dryad,Dataset,Data from: The effect of meal frequency in a reduced-energy regimen on the gastrointestinal and appetite hormones in patients with type 2 diabetes: a randomised crossover study,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,,,,9,0
10.6084/m9.figshare.22745651,datacite,https://ror.org/024d6js02;https://ror.org/04stdpt78,2023,figshare.ars,figshare,Dataset,"Prenatal stress, cytokines and birth outcomes",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.22745651.v1,datacite,https://ror.org/024d6js02;https://ror.org/04stdpt78,2023,figshare.ars,figshare,Dataset,"Prenatal stress, cytokines and birth outcomes",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
