client_id	publisher	resourceTypeGeneral	dataset_count
cern.zenodo	Zenodo	Dataset	2037
figshare.ars	figshare	Dataset	981
dryad.dryad	Dryad	Dataset	936
igeg.asep	ASEP Repository	Dataset	190
bl.mendeley	Mendeley Data	Dataset	169
tib.kit-ioc	chemotion-repository	Dataset	42
tib.suprabank	SupraBank	Dataset	29
igeg.asep	ASEP repository	Dataset	26
arch.avanjj	Archaeological Map of the Czech Republic	Dataset	21
figshare.ars	Taylor & Francis	Dataset	18
tib.repod	RepOD	Dataset	16
ylyl.fair	FAIRsharing	Dataset	11
cern.zenodo	Wiley	Dataset	10
figshare.ars	The Royal Society	Dataset	9
bl.nerc	NERC EDS Environmental Information Data Centre	Dataset	7
pangaea.repository	PANGAEA	Dataset	7
bl.leeds	University of Leeds	Dataset	6
bl.soton	University of Southampton	Dataset	6
inist.ganil	GANIL, Large Heavy Ion National Accelerator, Caen, France	Dataset	6
bl.nerc	NERC Environmental Information Data Centre	Dataset	5
cern.zenodo	Technical University of Liberec	Dataset	5
tib.mpdl	Edmond	Dataset	5
cern.zenodo	Elsevier	Dataset	5
qvvc.c-engineering	contact.engineering	Dataset	4
gdcc.harvard-dv	Harvard Dataverse	Dataset	4
tuw.tudata	TU Wien	Dataset	4
cern.zenodo	MDPI	Dataset	4
gdcc.csuc	CORA.Repositori de Dades de Recerca	Dataset	3
gcnc.ciivsh	Institute of Physics of the Earth, Faculty of Science, Masaryk University	Dataset	3
cifra.journals	ООО Цифра	Dataset	2
gcnc.cclsvn	MAFIL-CEITEC-MU	Dataset	2
figshare.ars	SciELO journals	Dataset	2
bl.shef	The University of Sheffield	Dataset	2
uutah.marriott	The Hive: University of Utah Research Data Repository	Dataset	2
cern.zenodo	Technical university of Liberec	Dataset	2
ethz.marvel	Materials Cloud	Dataset	2
cern.zenodo	ACS Publications	Dataset	2
snd.snd	Swedish University of Agricultural Sciences	Dataset	2
snd.snd	Linnaeus University	Dataset	2
cern.zenodo	Czech Technical University in Prague	Dataset	2
gcnc.ghgvvx	Masaryk University, Faculty of Arts, Department of Archaeology and Museology, Brno, Czech Republic	Dataset	2
bl.mendeley	Bicocca Open Archive Research Data	Dataset	2
cern.zenodo	ACS Omega	Dataset	1
zbw.rwi	RWI – Leibniz Institute for Economic Research	Dataset	1
cern.zenodo	Czech Geological Survey	Dataset	1
inist.resif	RESIF - Réseau Sismologique et géodésique Français	Dataset	1
tib.gfz	GFZ Data Services	Dataset	1
cern.zenodo	Moravian Geographical Reports	Dataset	1
cern.zenodo	Ecological Society of America	Dataset	1
cern.zenodo	Kurent, s.r.o. Vrbenská 197/23 370 01 České Budějovice CR	Dataset	1
cifra.journals	Cifra LLC	Dataset	1
alhd.bed	European Centre for Training and Research in Earthquake Engineering	Dataset	1
cern.zenodo	Archeologický ústav AV ČR, Brno	Dataset	1
cern.zenodo	Palacký University, Faculty of Arts	Dataset	1
uniwa.repo	University of Western Australia	Dataset	1
cern.zenodo	Nature Portfolio	Dataset	1
cern.zenodo	Cell Press	Dataset	1
cern.zenodo	University of Pardubice, Czech Republic	Dataset	1
tib.radar	University of Regensburg,University of Chemistry and Technology, Prague	Dataset	1
cern.zenodo	RSC Pharmaceutics	Dataset	1
cern.zenodo	PSE Press	Dataset	1
cern.zenodo	New Biotechnology	Dataset	1
inist.obsparis	PADC/MASER	Dataset	1
inist.obsparis	MASER/PADC	Dataset	1
inist.obsparis	PADC	Dataset	1
cern.zenodo	University of Pardubice; University of Llubljana	Dataset	1
biot.mbdb	MBDB	Dataset	1
igeg.asep	ASEP  Repository	Dataset	1
czu.nbjjgg	Czech University of Life Sciences Prague	Dataset	1
cern.zenodo	AAAS	Dataset	1
cern.zenodo	Czech technical university	Dataset	1
ardcx.csu	Taylor and Francis (United Kingdom)	Dataset	1
cern.zenodo	International Journal of Strategic Communication	Dataset	1
crui.ingv	Istituto Nazionale di Geofisica e Vulcanologia (INGV)	Dataset	1
cern.zenodo	MatfyzPress	Dataset	1
idiap.idiap	Idiap Research Institute	Dataset	1
psu.datacom	Penn State Data Commons	Dataset	1
cern.zenodo	Springer Nature Switzerland	Dataset	1
cern.zenodo	MUNI	Dataset	1
cern.zenodo	VSB - Technical University Ostrava, Yokohama National University	Dataset	1
cern.zenodo	Science Partner Journals (SPJ)	Dataset	1
cern.zenodo	American Chemical Society	Dataset	1
cern.zenodo	Research Institute for Nature and Forest (INBO)	Dataset	1
