status	concept_doi	version_doi	note
drop_version	10.5281/zenodo.10991830	10.5281/zenodo.10991831	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10012812	10.5281/zenodo.10012813	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14931059	10.5281/zenodo.14931060	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14931059	10.5281/zenodo.17276559	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17120539	10.5281/zenodo.17120540	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17131768	10.5281/zenodo.17131769	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13457477	10.5281/zenodo.13457478	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13457477	10.5281/zenodo.14500046	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15744239	10.5281/zenodo.15744240	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13992273	10.5281/zenodo.13992274	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15773618	10.5281/zenodo.15773619	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14229746	10.5281/zenodo.14229747	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14264741	10.5281/zenodo.14264742	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14955287	10.5281/zenodo.14955288	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10887098	10.5281/zenodo.10887463	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10887098	10.5281/zenodo.10887099	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14391664	10.5281/zenodo.14391665	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13692007	10.5281/zenodo.13692008	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15446274	10.5281/zenodo.15446275	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15271405	10.5281/zenodo.15271406	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10402599	10.5281/zenodo.10402600	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14539088	10.5281/zenodo.14539089	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15342531	10.5281/zenodo.15342532	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17358584	10.5281/zenodo.17377753	HasVersion + IsVersionOf match; dropping version DOI
missing_version_record	10.5281/zenodo.17358584	10.5281/zenodo.17358585	HasVersion points to DOI not present in datasets_dedup
drop_version	10.5281/zenodo.10622988	10.5281/zenodo.10622989	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13838248	10.5281/zenodo.13838249	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15209640	10.5281/zenodo.15209641	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15846158	10.5281/zenodo.15846159	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15149120	10.5281/zenodo.15149121	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14524857	10.5281/zenodo.14524858	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11210247	10.5281/zenodo.13998169	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11210247	10.5281/zenodo.11210248	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16963573	10.5281/zenodo.16963574	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16963573	10.5281/zenodo.16964223	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10728572	10.5281/zenodo.10728573	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13935317	10.5281/zenodo.13935318	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17452748	10.5281/zenodo.17452749	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15424510	10.5281/zenodo.15424511	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15340518	10.5281/zenodo.15340519	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15119095	10.5281/zenodo.15119096	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16942045	10.5281/zenodo.16942046	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15917235	10.5281/zenodo.15917236	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17220349	10.5281/zenodo.17220350	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14018226	10.5281/zenodo.14018227	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10958866	10.5281/zenodo.10958867	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10958866	10.5281/zenodo.14500149	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14765293	10.5281/zenodo.14765511	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14765293	10.5281/zenodo.14765294	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16779332	10.5281/zenodo.16779333	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14810679	10.5281/zenodo.14810680	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16095249	10.5281/zenodo.16095250	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14961374	10.5281/zenodo.14961375	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14961374	10.5281/zenodo.15660252	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14961374	10.5281/zenodo.15672425	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15870513	10.5281/zenodo.15870514	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13364568	10.5281/zenodo.13364569	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13883565	10.5281/zenodo.13883566	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14577635	10.5281/zenodo.14577636	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14944109	10.5281/zenodo.14944110	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16909328	10.5281/zenodo.16909329	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15550915	10.5281/zenodo.15550916	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15068041	10.5281/zenodo.15068042	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15068041	10.5281/zenodo.15144782	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14288852	10.5281/zenodo.14288853	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12803186	10.5281/zenodo.13336368	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12803186	10.5281/zenodo.12803187	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13960667	10.5281/zenodo.13960668	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10984973	10.5281/zenodo.10984974	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10984973	10.5281/zenodo.13981096	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15189468	10.5281/zenodo.15189469	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13898139	10.5281/zenodo.13898140	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17647704	10.5281/zenodo.17647705	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15674784	10.5281/zenodo.15674785	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15674784	10.5281/zenodo.17735903	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12731186	10.5281/zenodo.12731187	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11620552	10.5281/zenodo.11620553	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17610225	10.5281/zenodo.17610226	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10079327	10.5281/zenodo.10079328	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14265085	10.5281/zenodo.17257165	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14265085	10.5281/zenodo.14265086	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13271359	10.5281/zenodo.13271360	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17725302	10.5281/zenodo.17725303	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15774794	10.5281/zenodo.15774795	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17334784	10.5281/zenodo.17334785	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14851775	10.5281/zenodo.14851776	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17700870	10.5281/zenodo.17700871	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17543024	10.5281/zenodo.17543025	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13939333	10.5281/zenodo.13939334	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16271315	10.5281/zenodo.16271316	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16875931	10.5281/zenodo.16875932	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.3367287	10.5281/zenodo.3367288	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15228364	10.5281/zenodo.15228365	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14703489	10.5281/zenodo.14703490	HasVersion + IsVersionOf match; dropping version DOI
