institution,institution_full,institution_ror,publication_year,doi,dataset_title,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15736275,Complete catalogue of anthropological and isotopic data of the early medieval cemetery of Luistari (Finland) plus bioavailable 87Sr/86Sr values in the environment,2,Alžběta,Danielisová,Alžběta Danielisová,0000-0002-1918-7130,doi:10.5281/zenodo.15736275,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15736276,Complete catalogue of anthropological and isotopic data of the early medieval cemetery of Luistari (Finland) plus bioavailable 87Sr/86Sr values in the environment,2,Alžběta,Danielisová,Alžběta Danielisová,0000-0002-1918-7130,doi:10.5281/zenodo.15736276,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15267636,A High-Resolution Dataset of Roads of the Roman Empire: Itiner-e static version 2024,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,doi:10.5281/zenodo.15267636,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15267637,A High-Resolution Dataset of Roads of the Roman Empire: Itiner-e static version 2024,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,doi:10.5281/zenodo.15267637,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.17062241,A High-Resolution Dataset of Roads of the Roman Empire: Itiner-e static version 2024,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,doi:10.5281/zenodo.17062241,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.17062480,A High-Resolution Dataset of Roads of the Roman Empire: Itiner-e static version 2024,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,doi:10.5281/zenodo.17062480,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.17122148,A High-Resolution Dataset of Roads of the Roman Empire: Itiner-e static version 2024,18,Barbora,Weissova,Barbora Weissova,0000-0002-3297-6855,doi:10.5281/zenodo.17122148,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2021,10.60585/c-dd-202300001,AMCR C-DD-202300001 – geodetic data,1,Daniel,Dvořáček,Daniel Dvořáček,,doi:10.60585/c-dd-202300001,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15754872,Tepecik-Çiftlik macrolithic artefacts dataset from years 2022-2023,2,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,doi:10.5281/zenodo.15754872,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15754873,Tepecik-Çiftlik macrolithic artefacts dataset from years 2022-2023,2,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,doi:10.5281/zenodo.15754873,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.17072569,Statenice - LBK settlement dataset,1,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,doi:10.5281/zenodo.17072569,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.17072570,Statenice - LBK settlement dataset,1,Daniel,Pilař,Daniel Pilař,0000-0003-2419-0139,doi:10.5281/zenodo.17072570,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2024,10.25504/fairsharing.4160e0,FAIRsharing record for: Archaeological Map of the Czech Republic,3,David,Novák,David Novák,https://orcid.org/0000-0001-6592-6291,doi:10.25504/fairsharing.4160e0,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2024,10.25504/fairsharing.4160e0,FAIRsharing record for: Archaeological Map of the Czech Republic,2,David,Novák,David Novák,https://orcid.org/0000-0001-6592-6291,doi:10.25504/fairsharing.4160e0,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2021,10.5281/zenodo.5764172,Total Viewshed of Bohemia,4,David,Novák,David Novák,0000-0001-6592-6291,doi:10.5281/zenodo.5764172,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2021,10.5281/zenodo.5764173,Total Viewshed of Bohemia,4,David,Novák,David Novák,0000-0001-6592-6291,doi:10.5281/zenodo.5764173,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.14982375,"Bridging Space and Theory: Trends in Czech Spatial Archaeology in the 21st Century (datasets, glossaries, and R scripts)",1,Jan,Kolář,Jan Kolář,0000-0001-8013-6992,doi:10.5281/zenodo.14982375,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.14982376,"Bridging Space and Theory: Trends in Czech Spatial Archaeology in the 21st Century (datasets, glossaries, and R scripts)",1,Jan,Kolář,Jan Kolář,0000-0001-8013-6992,doi:10.5281/zenodo.14982376,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.13872160,Research data: Continuity Amid Transformation: An Analysis of Pottery Production from the Late La Tène to Early Roman Periods in Eastern Bohemia,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,doi:10.5281/zenodo.13872160,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2024,10.5281/zenodo.13872161,Research data: Continuity Amid Transformation: An Analysis of Pottery Production from the Late La Tène to Early Roman Periods in Eastern Bohemia,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,doi:10.5281/zenodo.13872161,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.14950261,Research data: Continuity Amid Transformation: An Analysis of Pottery Production from the Late La Tène to Early Roman Periods in Eastern Bohemia,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,doi:10.5281/zenodo.14950261,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15754872,Tepecik-Çiftlik macrolithic artefacts dataset from years 2022-2023,3,Jaroslav,Ridky,Jaroslav Ridky,0000-0001-8651-3496,doi:10.5281/zenodo.15754872,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2025,10.5281/zenodo.15754873,Tepecik-Çiftlik macrolithic artefacts dataset from years 2022-2023,3,Jaroslav,Ridky,Jaroslav Ridky,0000-0001-8651-3496,doi:10.5281/zenodo.15754873,datacite_pure
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,2024,10.5281/zenodo.14295005,A combined method for oral microbiome reconstruction and INNUL profiling from dental calculus samples - microbiome sequencing data,2,Jiri,Sneberger,Jiri Sneberger,0000-0001-7154-4716,doi:10.5281/zenodo.14295005,datacite_pure
